"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","vif(eggs.adj4)"
"(Intercept)",2.2161117381532,7.82468317377242,0.283220635128256,0.778399057408719,-13.5747382051883,18.0069616814947,NA
"tail",0.112300763071729,0.0931609605405976,1.20544874612785,0.234777879877306,-0.0757056668122417,0.300307192955701,1.05407650280883
"throat_avg_bright",-0.000746476367787239,0.100555729033389,-0.00742350908260409,0.994112100618194,-0.203676153243639,0.202183200508064,1.11788341255514
"breast_avg_bright",-0.0947119637298923,0.0561885682041284,-1.68560913290781,0.0992879344929383,-0.20810508513021,0.0186811576704255,1.10010259441415
