"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","ci.text"
"(Intercept)",8.26906445106173,0.301194257577622,27.4542566567049,5.14460310051891e-28,7.66079030782205,8.87733859430141,"(7.66, 8.88)"
"tail_scaled",0.223260903706303,0.317761999966253,0.702604162014383,0.486272722095774,-0.418472474074935,0.864994281487542,"(-0.42, 0.86)"
"throat_avg_bright_scaled",-0.00767482680616554,0.319361306247164,-0.0240317992694636,0.980943828440447,-0.652638069145987,0.637288415533656,"(-0.65, 0.64)"
"breast_avg_bright_scaled",-0.533345863116353,0.319764294401704,-1.66793438934222,0.102949884389693,-1.17912295654487,0.112431230312166,"(-1.18, 0.11)"
"ci_1_julian_scaled",-0.904628664914284,0.309823456457033,-2.91981980725123,0.00566771492822929,-1.53032982883302,-0.278927500995546,"(-1.53, -0.28)"
