"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","ci.text"
"(Intercept)",6.57500865958666,0.313468761512315,20.9750044242554,2.10057015193224e-21,5.93863324158169,7.21138407759162,"(5.94, 7.21)"
"tail_scaled",0.526741028201824,0.327020771188781,1.61072651834017,0.116222541756311,-0.137146432091063,1.19062848849471,"(-0.14, 1.19)"
"socM_tail_scaled",0.268619044570313,0.341541233006944,0.786490820465159,0.436873028844224,-0.424746520381481,0.961984609522107,"(-0.42, 0.96)"
"throat_avg_bright_scaled",0.0181736862876795,0.35274031191466,0.0515214328326511,0.959202953181085,-0.697927217543771,0.73427459011913,"(-0.7, 0.73)"
"socM_t.avg.bright_scaled",0.259690176995324,0.351761998673698,0.738255348714397,0.465280993615976,-0.454424645369337,0.973804999359985,"(-0.45, 0.97)"
"breast_avg_bright_scaled",-0.0211683241177183,0.357976301481848,-0.0591333114233868,0.953182274049617,-0.747898851881753,0.705562203646316,"(-0.75, 0.71)"
"socM_r.avg.bright_scaled",-0.0326080849671988,0.350333498723163,-0.0930772680489972,0.926372942287951,-0.743822898256772,0.678606728322375,"(-0.74, 0.68)"
"ci_1_julian_scaled",-0.982576271758222,0.353165880369193,-2.78219478827076,0.00864113537249907,-1.69954112548323,-0.265611418033212,"(-1.7, -0.27)"
