"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-1.82593791959744,0.247270226623357,-7.38438244074859,1.53162614013628e-13,-2.35176288330645,-1.37569161008341,0.16106650583076,0.0952011856166033,0.252664789846551
"tail_scaled",0.165894288524492,0.187082522725978,0.886743914435447,0.375216789527884,-0.199416860390289,0.538036655926335,1.18044830819492,0.819208326642288,1.71264105548113
"socF_tail_scaled",-0.206216125105344,0.228329145028939,-0.903152880808131,0.366444761617985,-0.663332663606728,0.235433227677735,0.813657205529304,0.515131709915875,1.26545688094143
"throat_avg_bright_scaled",-0.287537502394032,0.249499907882461,-1.15245534491135,0.249134009568063,-0.814793466168237,0.171480653619215,0.750108435381378,0.442730756799031,1.18706117717259
"socF_t.avg.bright_scaled",-0.846729784262193,0.24167286259637,-3.50361962516395,0.000458980452445231,-1.35230007810741,-0.39912069861752,0.428814958933205,0.258644673009435,0.670909718590776
"breast_avg_bright_scaled",0.0454763962707062,0.226972585024326,0.200360745179125,0.841198457772132,-0.401693430166412,0.495413858103743,1.04652630239888,0.669185866446538,1.6411773130579
"socF_r.avg.bright_scaled",-0.241869450778126,0.233865769802865,-1.03422339653215,0.301031738818359,-0.719208498121834,0.204673378136084,0.785158672715123,0.487137673794114,1.22712419390865
