"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.803349048711167,0.331114594123813,-2.42619643763202,0.0152580090173228,-1.50753777238443,-0.188940540603395,0.447826656583782,0.221454578798137,0.827835727844255
"tail_scaled",0.213395979973153,0.285191302596783,0.748255567508883,0.454306019643078,-0.389649489755504,0.83329566022994,1.23787472780843,0.677294231464377,2.30088920762301
"socF_tail_scaled",-0.485587068772892,0.32203989588633,-1.50784755235509,0.131593548518034,-1.29918137655348,0.240856698753542,0.615335846245689,0.272754985292456,1.27233869452287
"throat_avg_bright_scaled",-0.0875676710045436,0.354979101047813,-0.246684018146603,0.805152776067808,-0.903445797986829,0.655542037850689,0.916156872297254,0.405171113762822,1.92618630034814
"socF_t.avg.bright_scaled",-0.90135696588366,0.324497508074178,-2.77770073253572,0.00547450138968368,-1.62557948267665,-0.283494316747769,0.406018332733569,0.196797601354686,0.753147402454556
"breast_avg_bright_scaled",0.0603966014193433,0.310264611983158,0.194661585906619,0.845657886564874,-0.534697760115697,0.658172564974372,1.06225775594743,0.585846329516119,1.93125985579346
"socF_r.avg.bright_scaled",-0.466273856543484,0.320342580897965,-1.45554754299742,0.145517738293754,-1.17438311122152,0.153079722884333,0.627335460600082,0.30900954542406,1.16541788571459
"ci_julian_scaled",-0.912972042984644,0.354295934842404,-2.57686287987117,0.00997014926296273,-1.73773604178157,-0.16710928587137,0.401329680733752,0.175918221625628,0.846107138728377
