"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.84915071603861,0.40785519771979,-2.08199066920316,0.0373433220167516,-1.73507793515944,-0.0984455408628177,0.427778082782551,0.176386453044309,0.90624504459363
"tail_scaled",0.231608330178372,0.423793222117501,0.546512587013852,0.584713637890636,-0.593653903870737,1.11878310655577,1.26062588300765,0.552305522035817,3.06112687064878
"socF_tail_scaled",-0.283375631080494,0.444218811936846,-0.637919024286574,0.523526393070438,-1.23377957241894,0.544933327694477,0.753236795561309,0.291189921812486,1.72449340259248
"throat_avg_bright_scaled",-0.0265261090770395,0.452501883760305,-0.058620991489818,0.953253990641927,-0.999243687088574,0.822113484876665,0.973822617893859,0.368157778384395,2.27530357913099
"socF_t.avg.bright_scaled",-1.04930956674805,0.507445267999638,-2.06782806525018,0.0386561936120663,-2.19643976563484,-0.149056219028234,0.350179441195778,0.111198346638519,0.861520679682065
"breast_avg_bright_scaled",0.0789561974497826,0.423950904908206,0.186239011488555,0.852257332343004,-0.76715094434995,0.939986398962077,1.08215691979933,0.464334099261313,2.5599466001617
"socF_r.avg.bright_scaled",-0.827074752808775,0.515975102013627,-1.60293539277585,0.108948918710603,-2.02354971152487,0.069057972786085,0.437326705744459,0.132185411218269,1.071498325091
"ci_julian_scaled",-0.715538500490616,0.50063266068403,-1.42926851698599,0.152927071177329,-1.78877820671288,0.214387027931553,0.488928752520038,0.167164285149628,1.23910212913651
