"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.779916499815166,0.219886673847722,-3.54690207536306,0.00038978944601317,-1.22057625788787,-0.355632949652083,0.458444289890009,0.29506008722118,0.700729776145912
"site.sizemedium",-0.0703363927467033,0.338512692732975,-0.207780666003523,0.835400229450875,-0.737861571176242,0.59339005420528,0.932080222136826,0.478135281340039,1.81011441177474
"site.sizesmall",1.06340911697205,0.472024959356222,2.25286628576251,0.0242675811846842,0.142703780131662,2.00367897231099,2.89622775748667,1.15338809458878,7.41629029793747
"tail_scaled",0.330577277769181,0.141783515837001,2.33156355178288,0.0197236631411424,0.0577592129022838,0.616338049645923,1.39177133525639,1.0594598607299,1.85213318844638
"socM_tail_scaled",-0.401299262990624,0.15633078740777,-2.56698804915429,0.010258614796111,-0.715956087612021,-0.0999228251946405,0.669449689541379,0.488724624793222,0.904907251382231
"throat_avg_bright_scaled",-0.0976584739282411,0.156716149996504,-0.62315513704503,0.533182579770504,-0.407108530946651,0.209453280159279,0.906958600874295,0.665571951227574,1.23300376802549
"socM_t.avg.bright_scaled",0.1186529032763,0.166956790448973,0.710680308103814,0.477282365033512,-0.209671393406105,0.44755722982837,1.12597902682254,0.810850653067487,1.56448583461424
"breast_avg_bright_scaled",0.419627341284936,0.166657492295126,2.51790264875603,0.0118055946097657,0.0959287817876766,0.751908708423425,1.52139448904865,1.10068067269272,2.12104461112465
"socM_r.avg.bright_scaled",-0.241554280238427,0.170501806517822,-1.41672563576725,0.156563158881827,-0.581914084155076,0.0893354667273876,0.785406170597724,0.558827698974327,1.09344741003027
"ci_1_julian_scaled",0.00563872422238983,0.159074561829055,0.0354470517319377,0.971723266409622,-0.310481083390601,0.315789704043842,1.00565465175073,0.733094191937086,1.37134183765757
