"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",2.08274156164898,0.129837467685389,16.0411443536137,5.60998889569701e-18,1.81941897233375,2.34606415096421,8.0264437682368,6.16827347095884,10.444381214287
"tail_scaled",0.418165222541121,0.134324062350333,3.11310732585274,0.00361822565268428,0.145743397501087,0.690587047581155,1.51917165506909,1.15689928671165,1.99488628273359
"socM_tail_scaled",-0.0488613594711753,0.139097530154346,-0.351274098231345,0.727430334432934,-0.330964225928402,0.233241506986051,0.952313149745316,0.718230862623289,1.26268639009114
"throat_avg_bright_scaled",-0.0533612009756722,0.145666152708166,-0.366325326670627,0.716266519286891,-0.348785851429006,0.242063449477661,0.948037518554776,0.705544205376473,1.27387501695647
"socM_t.avg.bright_scaled",-0.0415737515348129,0.137438183485274,-0.302490548700152,0.764019040503708,-0.320311306966948,0.237163803897323,0.959278584464594,0.725923017002044,1.26764874657474
"breast_avg_bright_scaled",0.211419688005623,0.148295583869011,1.42566408580561,0.162579196282408,-0.0893376960110108,0.512177072022257,1.23543074173754,0.914536686031546,1.66892060312331
"socM_r.avg.bright_scaled",-0.092187838560347,0.140956974503455,-0.654014027224227,0.51725912437512,-0.378061832947158,0.193686155826464,0.911933837116958,0.68518813215443,1.21371530569859
