"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-1.11557317741349,0.131332399478892,-8.49427240985411,1.99176665658182e-17,-1.38100375182239,-0.864467913685122,0.327727379123284,0.251326157321181,0.421275648010088
"tail_scaled",0.205582285499337,0.118940651713474,1.72844424961266,0.0839086080333162,-0.0366159540042297,0.453674434795481,1.22824004314909,0.964046302386088,1.57408544659483
"socM_tail_scaled",-0.256485865070904,0.135059699777986,-1.8990554954033,0.0575571797742205,-0.533353149051013,0.0162015025033667,0.773765931608755,0.586634594809344,1.0163334585104
"throat_avg_bright_scaled",-0.0678586100297319,0.142855067544389,-0.475017170872476,0.63477473453975,-0.346134098963957,0.206687010037429,0.934392577976694,0.707417616776143,1.22959765982158
"socM_t.avg.bright_scaled",0.105064958045328,0.143301332716965,0.733175023939536,0.463451686535455,-0.179489835960051,0.385633466397765,1.11078276228928,0.835696444952043,1.4705455676569
"breast_avg_bright_scaled",0.244552567191364,0.137905264052638,1.7733374347336,0.0761728095130341,-0.0348618898742282,0.525121410104265,1.27704979138069,0.965738785352651,1.69066409962366
"socM_r.avg.bright_scaled",-0.0927339538527818,0.143644439706428,-0.645579836172609,0.518551499328426,-0.376540428544766,0.18934859326351,0.911435952066514,0.686231373790135,1.20846214082843
"ci_1_julian_scaled",-0.0466101797467922,0.146797877858982,-0.317512626385289,0.750854660289963,-0.346782450964972,0.240691938304158,0.954459392682182,0.706959109801771,1.2721290806963
