"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",0.331849703495306,0.133705538236526,2.48194433732627,0.0130667685055835,0.0562110260772686,0.581730021909,1.39354338807196,1.05782088797727,1.78913099069249
"tail_scaled",0.177166011680656,0.131649791535827,1.34573712281528,0.178387309710192,-0.0808621533421998,0.435729852437298,1.19382926628007,0.922320821524845,1.54609106559458
"socF_tail_scaled",-0.0923900135397005,0.136675333880957,-0.675981619479133,0.499052315020532,-0.363613324129899,0.172224934662936,0.911749485548533,0.69515994435641,1.18794501317489
"throat_avg_bright_scaled",-0.0292409409224357,0.152251835210405,-0.19205641023654,0.847698018811911,-0.340827973604727,0.258045827710335,0.971182438681913,0.71118123962903,1.29439813656789
"socF_t.avg.bright_scaled",-0.314053995707601,0.14097505267786,-2.2277274577456,0.025898694852995,-0.59778978917188,-0.0431580967479105,0.730479584332492,0.550025966984024,0.957759959362141
"breast_avg_bright_scaled",0.0353262402075479,0.141958311366274,0.248849397175491,0.803477279280941,-0.244816022227635,0.313827702712472,1.03595762470624,0.782848551726468,1.36865390087635
"socF_r.avg.bright_scaled",-0.0709776754962046,0.144088568028941,-0.492597549320834,0.622296979998125,-0.359250994624485,0.206833950800869,0.931482686784253,0.698199085139865,1.22977835111557
"ci_julian_scaled",-0.195588095890336,0.15425711676547,-1.26793563883153,0.204820935704312,-0.503741106328959,0.10224250820641,0.822350894638771,0.604265803198947,1.10765205387284
