"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"(Intercept)",2.0809517343671,0.130588821502629,15.9351444512822,1.2900016998248e-17,1.81584233249374,2.34606113624045
"tail_scaled",0.404478693762372,0.136234490832178,2.96898891970487,0.00536381647114433,0.127907973822819,0.681049413701926
"socM_tail_scaled",-0.0689999813605896,0.142283610327721,-0.484946798873479,0.630735592269528,-0.357851066746978,0.219851104025798
"throat_avg_bright_scaled",-0.0623753379461351,0.146949065696919,-0.424469101932118,0.673821666593255,-0.360697801266431,0.235947125374161
"socM_t.avg.bright_scaled",-0.00390849660317385,0.14654150746821,-0.026671600904759,0.978873161887289,-0.301403572732144,0.293586579525796
"breast_avg_bright_scaled",0.211372032367336,0.149130341125068,1.41736437248587,0.1652176207617,-0.091378655493343,0.514122720228015
"socM_r.avg.bright_scaled",-0.0653172654587374,0.145946404708506,-0.44754281949729,0.657240937095388,-0.361604218757108,0.230969687839634
"ci_1_julian_scaled",-0.113784325376728,0.14712635444071,-0.773378269374448,0.444490790950061,-0.412466703981383,0.184898053227927
