"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.804488871751387,0.399058405586636,-2.01596773928054,0.0438033493332345,-1.67393516856686,-0.0704960737817943,0.447316504239513,0.187507737348043,0.93193139848464
"tail_scaled",0.373223138344123,0.402198196685423,0.927958258937787,0.353429222128724,-0.391665563808934,1.23113645764666,1.45240839168074,0.67593013166293,3.42511982891487
"socF_tail_scaled",-0.197346668757198,0.415020925064068,-0.475510165485592,0.634423389377113,-1.08646966263445,0.588421679247242,0.820906001515711,0.337405549005594,1.80114338881695
"throat_avg_bright_scaled",-0.280112059720948,0.422659661664159,-0.662736677112855,0.507499215352543,-1.21273414837651,0.485522485426129,0.755699053285716,0.297383077404245,1.62502383834705
"socF_t.avg.bright_scaled",-0.950131696303383,0.494420367773359,-1.9217082430935,0.0546424794559367,-2.0751138183834,-0.0742139447242187,0.386690094445,0.125542137676831,0.928473030684083
"breast_avg_bright_scaled",0.0649333216773987,0.399976363560345,0.16234289721373,0.871035835609599,-0.737078382648559,0.869598661025236,1.06708787038274,0.478509898085685,2.38595308537717
"socF_r.avg.bright_scaled",-0.744846340118604,0.470770751171942,-1.58218482831479,0.113607382825623,-1.80119562970843,0.100170106468562,0.474807253160984,0.165101370062877,1.10535893078831
