"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",0.282664001939217,0.208107301584811,1.35826085767597,0.174380925843137,-0.154443615486125,0.664997573703382,1.32665933195951,0.856891806207938,1.94448580343178
"site.sizemedium",0.199237453920862,0.311536461710918,0.639531735151242,0.522477075460316,-0.408083201058519,0.819605116148229,1.22047173729416,0.664923554177357,2.26960343081103
"site.sizesmall",-0.352449532175875,0.513393706538093,-0.686509257295937,0.492392028724663,-1.47601844855047,0.57715878505368,0.702964045981347,0.228545846290948,1.78097111374316
"tail_scaled",0.192175734470216,0.130158883996163,1.47647036122314,0.139817666166796,-0.0639268561283618,0.446952813601751,1.21188346795214,0.938073611357248,1.56354051970009
"socF_tail_scaled",-0.0846055399409588,0.138796017625519,-0.609567488955125,0.542148353370169,-0.358661702470731,0.18613627021444,0.918874672280465,0.69861064963645,1.20458639844064
"throat_avg_bright_scaled",0.0125656262740656,0.159236283995857,0.0789118281257585,0.93710275509801,-0.310020158043091,0.317734491445863,1.01264490547215,0.733432171517957,1.3740114010125
"socF_t.avg.bright_scaled",-0.323725833306868,0.141617386914977,-2.28591870220867,0.0222590151082605,-0.607629956354089,-0.0502073178363185,0.723448560691999,0.544640161585504,0.951032238115418
"breast_avg_bright_scaled",0.0703044832430686,0.144917473512973,0.485134618612951,0.627580856692102,-0.216447289297377,0.353903658003382,1.07283479174465,0.805374985685227,1.42461792933245
"socF_r.avg.bright_scaled",-0.110098329725226,0.15859364687797,-0.694216520602125,0.487546433634418,-0.432211662407132,0.192165319938536,0.895746052502806,0.649071978007326,1.21187084681909
"ci_julian_scaled",-0.200240085650412,0.15770749103859,-1.26969292537546,0.204194033818439,-0.517561635763777,0.102967016407263,0.818534211167008,0.595971974446134,1.10845484764979
