"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-1.10872224209411,0.128802046081767,-8.60795519808948,7.4375312393031e-18,-1.36803960184094,-0.862491943360391,0.329980326787516,0.254605598974718,0.422108899157742
"tail_scaled",0.205258871289321,0.117597541004644,1.74543506212613,0.080909166902387,-0.0349510174864539,0.4511753556493,1.22784287709386,0.96565271519635,1.57015659378277
"socM_tail_scaled",-0.248067790673955,0.132387472549163,-1.87380109233397,0.0609578458017258,-0.51773505472984,0.0190712388248535,0.780307043944613,0.595868630563677,1.01925425650659
"throat_avg_bright_scaled",-0.060754903138025,0.141145316873094,-0.430442217170059,0.666873990985667,-0.334633551027956,0.209073767370656,0.94105386086085,0.715600269294369,1.23253591611061
"socM_t.avg.bright_scaled",0.09223470292477,0.134179402291405,0.687398373741886,0.491831722160533,-0.178581139783734,0.356693992105928,1.09662217231042,0.836456184249952,1.42859864049802
"breast_avg_bright_scaled",0.242132325220703,0.137105704875759,1.76602662478644,0.0773913821682505,-0.0351381885987715,0.520248383400872,1.27396275906643,0.965471989817346,1.68244548933695
"socM_r.avg.bright_scaled",-0.103207852527916,0.138338882660776,-0.746050933351794,0.455636647825127,-0.377623836549615,0.166208229849448,0.901939483595375,0.685488307821084,1.18081895787892
