"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.625682204046861,0.343779944052992,-1.82000787093739,0.0687578062624855,-1.33645189263848,0.00932912240406288,0.534896395533973,0.262776375271835,1.00937277430552
"tail_scaled",0.387210821978569,0.295388662958344,1.31085200799725,0.189907767629965,-0.273345006122096,1.09746831862523,1.47286697127303,0.760830251248652,2.99657005212423
"socF_tail_scaled",-0.521883111536918,0.339397828597988,-1.53767369017284,0.124128419681914,-1.45887588595839,0.280022859609331,0.593402052923365,0.232497481572789,1.32316005891375
"throat_avg_bright_scaled",-0.618849376839934,0.37172322594303,-1.66481224106986,0.0959502209787471,-1.43241812460081,0.0769816611171223,0.538563765161391,0.238730942546783,1.08002226980907
"socF_t.avg.bright_scaled",-0.852489028761047,0.362384318113578,-2.35244459031437,0.0186504682383272,-1.64527815991467,-0.172334744427953,0.426352406766626,0.192958881902047,0.841697372500062
"breast_avg_bright_scaled",-0.00841017145969794,0.316576440445397,-0.0265660055052281,0.978805887361347,-0.632629328440792,0.605534531158843,0.991625095097112,0.531193281626275,1.83223133191369
"socF_r.avg.bright_scaled",-0.525210448116297,0.348091140697565,-1.50883026515352,0.131342164310563,-1.25488403830155,0.135691802590077,0.591430885753303,0.2851089080208,1.14532885180874
