band,site,mb_side,recap,sex,how_sexed,initials,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,color_top,color_bottom,mb_tape,cb_side,lysis,amount,notes_1,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,notes_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,body_feathers,mass_4_date,mass_4,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,adult_manipulation_date,nest_manipulation_date,additional_data,mass,morph_date,plasma,julian_date_captured,paint_left,paint_right,single_cb_color,cb_tape,total_rs,plasma_date,mass_5_date,mass_5,date_feather
2811-38984,Colorado Horse Rescue,R,Y,F,BP,RS,2022-06-17,116,116,116,Y,Y,81.5,81.5,81.5,81.5,81.5,81.5,15.8,17.89,2022-07-21,NA,NA,Red,Lt Blue,NONE,L,Y,03-Jan,ci estimated,102,old,2640-97589,2022-05-16,5,3,3,fledged,Y,102.2,old,2640-97589,2022-07-04,5,4,4,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,14.51881356,0.515995203,679.458,29124.74,20.07807245,0.466369752,606.3786667,40276.61333,23.66085577,0.458228381,627.3723333,47463.67667,25.18879362,0.489744034,662.7626667,50528.72,; ; ,N,NA,N,,Y,NA,NA,2022,136,185,NA,NA,116,81.5,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-39093,Schaap,R,Y,M,CP,RJS,2022-07-05,119,119,119,Y,Y,88.5,88.5,88.5,90.5,90.5,90.5,17.7,NA,NA,NA,NA,NA,NA,NA,NA,Y,03-Jan,,,,,NA,,,,,,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,13.93653539,0.529580006,643.7406667,27956.69,26.6778099,0.465999777,611.004,53515.68667,24.46093387,0.466923253,633.3796667,49068.63333,28.6566783,0.456442154,611.004,57485.29667,"horse hair wound around left leg/metal band, removed band from swollen L leg and placed on R leg; born at Grizz 2021; ; ",N,NA,N,,Y,NA,NA,2022,NA,NA,NA,NA,119,90.5,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-82969,Colorado Horse Rescue,L,Y,M,CP,RJS,2022-06-17,122,122,122,Y,N,71.5,71.5,71.5,NA,NA,NA,17.85,NA,NA,NA,NA,Dk Green,Lt Green,NONE,R,Y,03-Jan,"was unable to check nest after CI because of horse in stall, but saw 3N begging from outside the nest",85,old,2850-57882,2022-05-30,NA,NA,NA,fledged,Y,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,17.64881024,0.498102494,611.004,35403.51333,26.15807079,0.471993495,611.004,52473.09,22.53324859,0.491848923,611.004,45201.69667,23.19092223,0.473580392,611.004,46520.99,missing RTS; ; ,N,NA,N,,Y,NA,NA,2022,150,NA,NA,NA,122,NA,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83207,Dome House,R,Y,F,BP,HKD,2022-06-13,118,118,118,Y,Y,75,75,75.5,76,76,75.5,18.67,NA,NA,NA,NA,Orange,Purple,Green,L,Y,02-Jan,,1,old,2850-57643,2022-06-02,3,2,2,fledged,Y,2,old,2850-57643,2022-07-17,5,4,4,failed,N,4N found dead D14,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,20.11934696,0.456415175,685.7806667,40359.41,23.95448986,0.462077598,614.4873333,48052.70667,15.60926886,0.493086004,663.0933333,31312.19333,17.37049684,0.517698871,679.1476667,34845.21667,; ; ,N,NA,N,,Y,NA,NA,2022,153,198,NA,NA,118,75.83333333,75.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83208,Colorado Horse Rescue,R,Y,M,CP,RJS,2022-06-20,118,118,118,Y,Y,89.5,89.5,89.5,87,87,87,16.9,NA,NA,NA,NA,Yellow,Dk Blue,NONE,L,Y,03-Jan,,4,old,2850-57585,2022-05-31,4,3,3,fledged,Y,4.2,old,2850-57585,2022-07-19,4,4,2,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,LTS curled inward; ; ,N,NA,N,,Y,NA,NA,2022,151,200,NA,NA,118,87,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83402,Schaap,L,Y,F,BP,NC,2022-07-05,115,115,115,Y,Y,72,72,72,71,71.5,71,17.12,NA,NA,NA,NA,NA,NA,NA,NA,Y,1 drop,,,,,NA,,,,,,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,16.84444832,0.538722019,667.7166667,33789.96333,29.39984214,0.470952712,631.6993333,58976.08333,23.45876703,0.446837977,633.3796667,47058.28667,28.70068627,0.458963138,615.732,57573.57667,Born at make believe 2021; ; ,N,NA,N,,Y,NA,NA,2022,NA,NA,NA,NA,115,71.16666667,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83409,Colorado Horse Rescue,L,Y,F,BP,RS,2022-06-20,112,112,112,Y,Y,73,73.5,73,73,73,73,16.9,NA,NA,NA,NA,Dk Green,Dk Green,NONE,R,Y,1,,,,,NA,,,,,,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,13.07540379,0.52809376,677.7843333,26229.26,35.11587238,0.427162013,626.04,70442.44,35.97691093,0.422069153,597.723,72169.68333,30.50786972,0.441458139,609.7223333,61198.78667,not assigned to any nest as of 8/3/22; ; not assigned to any nest as of 8/3/22,N,NA,N,,Y,NA,NA,2022,NA,NA,NA,NA,112,73,73.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57518,Make Believe,R,Y,M,CP,HKD,2022-06-14,123,122.5,123,N,Y,NA,NA,NA,101,101.5,101,18.14,NA,NA,NA,NA,Yellow,Orange,NONE,L,Y,03-Jan,,14,old,2850-57576,2022-05-28,5,4,4,fledged,Y,69,old,2850-57576,2022-07-14,4,2,2,failed,N,dead in nest D18,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,14.90719508,0.519809235,611.004,29903.83333,19.59704719,0.532886535,665.0906667,39311.67667,20.80960452,0.478712673,627.0583333,41744.06667,18.70017448,0.514676857,678.7786667,37512.55,LTS broken; ; caught near #14,N,NA,N,,Y,NA,NA,2022,148,195,NA,NA,122.8333333,101.1666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57519,Golden Grizzly,R,Y,F,BP,ZML,2022-07-14,123,123,123,Y,Y,78,78,78,79,79,79,19.83,NA,NA,NA,NA,Black,Dk Green,NONE,L,Y,10-Mar,,,,,NA,,,,,,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,17.4577102,0.494161907,660.109,35020.16667,27.2004553,0.446988584,643.4266667,54564.11333,26.39951479,0.41995676,643.4266667,52957.42667,33.3367348,0.425720972,600.0436667,66873.49,; green sharpie; ,N,NA,N,,Y,NA,NA,2022,NA,NA,NA,NA,123,79,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57550,Mary Anns,L,Y,F,BP,APP,2022-08-10,118,118,118,Y,Y,79,79,79,79,79,78.5,18.59,NA,NA,NA,NA,Pink,Pink,Blue,R,Y,04-Jan,estimated Ci; last N found dead D19,1,old,2870-64916,2022-07-29,4,4,1,failed,N,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,22.21368561,0.518261978,653.395,44560.65333,31.980221,0.444026908,652.7663333,64152.32333,27.09730974,0.423347789,672.1213333,54357.20333,28.8769209,0.445107907,626.781,57927.10333,; had blue tape but we removed it to read band # and did not replace; ,N,NA,N,,Y,NA,NA,2022,210,NA,NA,NA,118,78.83333333,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
