band,site,mb_side,recap,sex,how_sexed,initials,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,color_top,color_bottom,mb_tape,cb_side,lysis,amount,notes_1,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,notes_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,body_feathers,mass_4_date,mass_4,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,adult_manipulation_date,nest_manipulation_date,additional_data,mass,morph_date,plasma,julian_date_captured,paint_left,paint_right,single_cb_color,cb_tape,total_rs,plasma_date,mass_5_date,mass_5,date_feather
2811-82968,Schaap,L,N,unknown,,HVK,2021-07-13,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,17.12,NA,NA,NA,NA,,,,,Y,0.2,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; Used nestling band; HY bird incidentally caught at Schaaps; ,N,NA,N,NA,N,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83409,Colorado Horse Rescue,L,N,unknown,,,2021-08-12,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; fledgling; ,,,,,,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83410,Colorado Horse Rescue,L,N,unknown,,,2021-08-12,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; fledgling; ,,,,,,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83411,Colorado Horse Rescue,L,N,unknown,,,2021-08-12,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; fledgling; ,,,,,,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811-83412,Colorado Horse Rescue,R,N,unknown,,,2021-08-12,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; fledgling; ,,,,,,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57432,Colorado Horse Rescue,L,Y,M,,,2021-08-12,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,18.05,NA,NA,NA,NA,Pink,Purple,,R,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; pit tag; tape color not specified; ,,,,,,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57438,Cargill,L,Y,F,BP,HVK/MJA,2021-06-11,121,121,121,Y,Y,76,76,76,76,76,76,21.37,NA,NA,NA,NA,Dk Blue,Lt Blue,Yellow,R,Y,0.5,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; Mites on tail; ,N,NA,N,NA,Y,NA,NA,2021,NA,NA,NA,NA,121,76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57473,Van Loon,R,Y,M,"CP, TS",SAM,2021-06-02,116,115.5,116,Y,Y,89,89,89.5,89.5,90,90,17.37,NA,NA,NA,NA,Purple,Pink,Blue,L,Y,0.166,banded day 8,1,old,2850-57711,2021-05-20,5,3,3,fledged,Y,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; ; ,N,NA,N,NA,Y,NA,NA,2021,140,NA,NA,NA,115.8333333,89.83333333,89.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57482,Golden Grizzly,R,Y,F,BP,HVK,2021-06-18,116,116,115.5,Y,,76,76,76,75.5,75.5,75.5,18.1,NA,NA,NA,NA,Orange,Pink,Green,L,Y,0.25,banded day 8,46,old,2850-57716,2021-05-24,4,1,1,fledged,Y,73,old,2850-57716,2021-07-04,5,5,3,fledged,Y,banded day 10,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"; Sharpie: L (dark blue), R (dark blue); ",N,NA,N,NA,Y,NA,NA,2021,144,185,NA,NA,115.8333333,75.5,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57495,Cargill,R,Y,M,CP,ASF/RJS,2021-06-11,118,118.5,119,N,Y,NA,NA,NA,97,97,97,16.8,NA,NA,NA,NA,Red,Red,Green,L,Y,0.33,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; ; ,N,NA,N,NA,Y,NA,NA,2021,NA,NA,NA,NA,118.5,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57496,Colorado Horse Rescue,L,Y,M,,,2021-08-12,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lt Green,Pink,,R,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; a few red ants in mouth; tape color not specified; ,,,,,,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57505,Cooks,L,Y,M,CP,HVK,2021-07-12,119,119,119,Y,N,93,93,93,NA,NA,NA,17.03,NA,NA,NA,NA,Pink,Orange,Red,L,Y,1,,23,old,2640-97370,2021-05-18,5,0,0,eggs collected,N,22,old,2640-97370,2021-06-13,5,5,5,fledged,Y,,32,old,2640-97370,2021-07-26,5,5,5,fledged,Y,,NA,,,NA,NA,NA,NA,,,,15.20977235,0.542130754,658.4123333,30510.80333,33.66590063,0.453267892,641.734,67533.79667,22.38608342,0.461251592,625.399,44906.48333,25.25486042,0.472207368,641.717,50661.25,"; RTS broken at tip, mite or tick on throat; ",N,NA,Y,eggs collected,Y,NA,NA,2021,138,164,207,NA,119,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57518,Make Believe,R,Y,M,TS,RS,2021-06-05,122,122,122,Y,Y,102,102,102,101.5,101.5,101.5,17.8,NA,NA,NA,NA,Yellow,Orange,Yellow,L,Y,0.5,,69,old,2640-97385,2021-05-24,5,0,0,eggs collected,N,14,old,2640-97385,2021-06-22,5,3,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,10.72064639,0.529792686,665.7963333,21505.61667,23.71212363,0.478672203,665.4226667,47566.52,19.70544367,0.489269963,665.419,39529.12,20.56904952,0.488823435,597.723,41261.51333,; ; ,N,NA,Y,eggs collected,Y,NA,NA,2021,144,173,NA,NA,122,101.5,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57519,Golden Grizzly,R,Y,F,"BP, TS",SAM,2021-06-18,122,121.5,122,Y,Y,78,78,77.5,79.5,79.5,79.5,15.39,NA,NA,NA,NA,Black,Dk Green,Green,L,Y,0.5,banded day 8,114,old,2850-57862,2021-05-26,5,3,3,fledged,Y,114.2,old,2850-57862,2021-07-12,5,5,5,fledged,Y,banded on day 13,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"; Sharpie: L (dark blue), R (dark green); ",N,NA,N,NA,Y,NA,NA,2021,146,193,NA,NA,121.8333333,79.5,77.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57520,Golden Grizzly,L,Y,F,BP,HVK,2021-06-18,118.5,118.5,119,Y,Y,84,84,84,81.5,81.5,81.5,16.4,NA,NA,NA,NA,Pink,Red,Green,R,Y,1,4N banded day 8; 3N remaining day 12,156,old,UNB,2021-05-22,4,4,3,fledged,Y,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; Sharpie: L (dark blue) R (brown); ,N,NA,N,NA,Y,NA,NA,2021,142,NA,NA,NA,118.6666667,81.5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57526,Golden Grizzly,R,Y,F,BP,RJS,2021-06-18,121,121,121,Y,Y,83,83,83,83.5,83.5,83.5,19.2,NA,NA,NA,NA,Purple,Pink,Yellow,L,Y,0.33,3N banded day 8; 1N banded day 12,123,old,2640-97543,2021-06-07,4,4,4,fledged,Y,153,old,2640-97543,2021-07-24,4,4,4,fledged,Y,banded day 10; 1N dead in nest,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; Sharpie: L (pink) R (none); ,N,NA,N,NA,Y,NA,NA,2021,158,205,NA,NA,121,83.5,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57538,Schaap,R,Y,M,CP,HVK,2021-06-19,123,123,123,Y,Y,86,86,85.5,86,86,86,19.08,22.05,2021-08-31,NA,NA,Black,Dk Green,NONE,L,Y,0.4,,80,old,2850-57556,2021-05-22,5,0,0,eggs collected,N,59,old,2850-57556,2021-06-19,4,4,4,fledged,Y,Only 3 nestlings fledged; 1N dead on nest,80,old,2850-57556,2021-08-15,3,3,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,11.83595381,0.543556023,646.4236667,23742.92333,20.22020605,0.518618138,639.413,40561.73333,17.0660668,0.495813797,654.0883333,34234.53,21.16351279,0.503420136,656.7216667,42454.00667,; Orange sharpie LTS; ,N,NA,Y,eggs collected,Y,NA,NA,2021,142,170,227,NA,123,86,85.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57546,Schaap,R,Y,M,CP,HVK,2021-06-13,116.5,116.5,116.5,Y,Y,89.5,89.5,89.5,89.5,89.5,89.5,17.07,17.8,2021-06-19,NA,NA,Dk Green,Dk Blue,Green,L,Y,1,,36,old,2850-57559,2021-05-27,2,0,0,predated,N,98,old,2850-57559,2021-06-15,3,3,2,fledged,Y,,36,old,2850-57559,2021-07-29,4,3,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,17.09497674,0.516237812,651.096,34292.52333,15.45557993,0.552463184,665.7963333,31003.89333,20.17261383,0.499518855,631.0863333,40466.26333,18.7285776,0.500650632,642.4716667,37569.52667,; ; ,N,NA,N,NA,Y,NA,NA,2021,147,166,210,NA,116.5,89.5,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57548,Cargill,L,N,M,"Color, TS",SAM/MJA,2021-05-13,116.5,117,117,Y,Y,79,79,79,79.5,80,79.5,19.3,NA,NA,NA,NA,Dk Blue,Red,White,R,N,NA,,NA,,,NA,,,NA,,,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"; LWL: a. 117.5, b. 118, c. 117.5; ",N,NA,N,NA,N,NA,NA,2021,NA,NA,NA,NA,116.8333333,79.66666667,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57549,Cathys,L,N,M,Plumage,RJS,2021-05-26,115,115,115,Y,Y,95,95,95,95,95,95,16.4,NA,NA,NA,NA,Pink,Dk Blue,Green,R,Y,0.3,,3,old,2850-57550,2021-06-06,4,0,0,eggs collected,N,1 (Mary Ann),old,2850-57550,2021-07-06,4,4,4,fledged,Y,"2nd nest was in Mary Ann's shed, nextdoor to Cathy's",NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,8.241922566,0.552191251,674.047,16533.29667,10.1891891,0.544439946,679.4396667,20439.51333,16.83124958,0.52650191,659.0766667,33763.48667,13.68231472,0.502931517,649.101,27446.72333,; ; ,N,NA,Y,eggs collected,Y,NA,NA,2021,157,187,NA,NA,115,95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57550,Cathys,L,N,F,BP,RJS,2021-05-26,116,116,116,Y,Y,78,78,78,78,78,78,18,18.7,2021-06-22,NA,NA,Pink,Pink,Blue,R,Y,0.25,,3,old,2850-57549,2021-06-06,4,0,0,eggs collected,N,1 (Mary Ann),old,2850-57549,2021-07-06,4,4,4,fledged,Y,"2nd nest was in Mary Ann's shed, nextdoor to Cathy's",NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,6.088649053,0.612485675,667.7636667,12213.83,33.35610003,0.419420176,649.4716667,66912.33667,30.57395314,0.448718595,620.4213333,61331.35,18.8962446,0.487079984,649.709,37905.86667,; ; ,Y,GPS tag,Y,eggs collected,Y,NA,NA,2021,157,187,NA,NA,116,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57551,Struthers,L,N,F,BP,RJS,2021-06-03,119,119,119.5,Y,Y,77,77,77,77,77,77,20.3,19.18,2021-06-21,NA,NA,Lt Green,Dk Green,Green,R,Y,0.5,,20,old,2850-57552,2021-05-20,5,0,0,eggs collected,N,20,old,2850-57552,2021-06-20,5,4,4,fledged,Y,,10,old,2850-57552,2021-08-03,4,4,4,fledged,Y,,NA,,,NA,NA,NA,NA,,,,16.4650565,0.496235562,642.7923333,33028.90333,26.17744267,0.439143082,622.1046667,52511.95,28.12707876,0.464307199,624.079,56422.92,29.36657029,0.438155948,644.451,58909.34,; ; ,Y,GPS tag,Y,eggs collected,Y,NA,NA,2021,140,171,215,NA,119.1666667,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57552,Struthers,L,N,M,CP,RJS,2021-06-03,123,123.5,123,Y,Y,97,97,97,95.5,95.5,95,18.46,NA,NA,NA,NA,Orange,Red,NONE,R,Y,0.5,,20,old,2850-57551,2021-05-20,5,0,0,eggs collected,N,20,old,2850-57551,2021-06-20,5,4,4,fledged,Y,,10,old,2850-57551,2021-08-03,4,4,4,fledged,Y,,NA,,,NA,NA,NA,NA,,,,10.15486208,0.531182928,650.4306667,20370.65333,17.36174975,0.509375806,633.3796667,34827.67,22.48016284,0.428711028,630.0346667,45095.20667,24.03993686,0.485482828,627.6863333,48224.11333,; ; ,N,NA,Y,eggs collected,Y,NA,NA,2021,140,171,215,NA,123.1666667,95.33333333,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57553,Schaap,L,N,F,BP,MJA/RJS,2021-06-04,115,115,115,Y,Y,81.5,81.5,81.5,80,79.5,79.5,18.47,17.65,2021-06-19,NA,NA,Dk Blue,Lt Blue,Red,R,Y,1,,108,old,2850-57607,2021-05-22,5,0,0,eggs collected,N,32,old,2850-57607,2021-06-13,5,3,3,fledged,Y,,97,old,2850-57607,2021-07-29,4,4,4,fledged,Y,,NA,,,NA,NA,NA,NA,,,,14.78546527,0.529264664,622.0153333,29659.64333,23.48448986,0.434539743,599.3946667,47109.88667,34.41601196,0.420484519,612.0926667,69038.52,29.60863576,0.433829848,644.0546667,59394.92333,; Replaced tape; ,Y,GPS tag,Y,eggs collected,Y,NA,NA,2021,142,164,210,NA,115,79.66666667,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57554,Schaap,R,N,M,CP,MJA/RJS,2021-06-04,122,122,122,Y,Y,96.5,96.5,96.5,95.5,95.5,95.5,17.27,17.4,2021-06-19,17.9,2021-06-29,Red,Pink,Green,L,Y,1,,24,old,2850-57905,2021-06-09,5,4,3,fledged,Y,28,old,2850-57905,2021-07-23,5,3,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,11.59120804,0.518720764,657.7343333,23251.96333,21.56095048,0.5060342,616.687,43251.26667,19.84456132,0.474461969,646.7536667,39808.19,19.94804254,0.491730794,622.0516667,40015.77333,; Replaced tape 6/19; ,N,NA,N,NA,Y,NA,NA,2021,160,204,NA,NA,122,95.5,96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57555,Reinarz,L,N,F,BP,HVK,2021-06-05,119,119,119,Y,Y,83,83,83,83,83,83.5,19.4,NA,NA,NA,NA,Lt Blue,Dk Green,Blue,R,Y,0.75,,1,old,unknown,NA,5,0,0,eggs collected,N,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,24.13095381,0.481420529,597.4023333,48406.69333,33.49374377,0.449783581,608.4396667,67188.45,28.52537222,0.416650856,635.0736667,57221.89667,31.92349285,0.436578817,608.7603333,64038.52667,; ; ,Y,GPS tag,Y,eggs collected,Y,NA,NA,2021,NA,NA,NA,NA,119,83.16666667,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57556,Schaap,R,N,F,BP,RJS,2021-06-05,120,120,120,Y,Y,81,81,81,81,81,81,20.9,21.02,2021-06-19,19.7,2021-06-29,Pink,White,Blue,L,Y,0.33,,80,old,2850-57538,2021-05-22,5,0,0,eggs collected,N,59,old,2850-57538,2021-06-19,4,4,4,fledged,Y,one N dead on nest,80.2,old,2850-57538,2021-08-15,3,3,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,14.25833832,0.531787337,678.0256667,28602.22667,25.27149718,0.452849715,626.097,50694.62333,20.31147225,0.469153302,641.455,40744.81333,17.15926886,0.493977991,650.1193333,34421.49333,"; replaced blue tape on 8/26/2021, mass=19.39; ",Y,GPS tag,Y,eggs collected,Y,2021-07-20,18.2,2021,142,170,227,NA,120,81,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57557,Cooks,L,N,M,CP,RJS,2021-06-08,115,115.5,115,Y,Y,84,84.5,84,84,84,84,17.4,NA,NA,NA,NA,Lt Blue,Lt Green,NONE,R,Y,0.5,,24,old,2850-57609,2021-05-25,5,0,0,eggs collected,N,6,old,2850-57609,2021-06-17,5,4,4,fledged,Y,,33,old,2850-57609,2021-08-03,4,4,4,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; ; ,N,NA,Y,eggs collected,N,NA,NA,2021,145,168,215,NA,115.1666667,84,84.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57558,Cooks,R,N,F,BP,RS,2021-06-08,115.5,115.5,115.5,Y,Y,81,81,81,81,81,81,20.4,19.7,2021-06-13,17.26,2021-07-02,Lt Blue,Dk Blue,Blue,L,Y,0.33,,31,old,UNB,2021-05-29,5,0,0,eggs collected,N,1 (Hepp),unknown,2850-57633,NA,unknown,unknown,2,fledged,Y,"Moved sites! Recaptured at nest on Hepp barn, SW corner of awning. Unsure if still with original UNB mate from Cook's",NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,16.59184613,0.480519749,646.1186667,33283.24333,35.9972898,0.433822452,600.0586667,72210.56333,22.18986374,0.427600535,586.0443333,44512.86667,30.87151379,0.405711426,599.8036667,61928.25667,; ; ,Y,GPS tag,Y,eggs collected,Y,NA,NA,2021,149,NA,NA,NA,115.5,81,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57559,Schaap,R,N,F,BP,RJS/MJA,2021-06-13,121,121,121,Y,Y,76,76.5,76,76,76,76,22.2,21.84,2021-06-29,17.32,2021-08-18,Red,Lt Green,White,L,Y,1,,36,old,2850-57546,2021-05-27,2,0,0,predated,N,98,old,2850-57546,2021-06-15,3,3,2,fledged,Y,,36,old,2850-57546,2021-07-29,4,3,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,14.62737122,0.532998578,679.0586667,29342.50667,21.55394816,0.505374846,659.3826667,43237.22,22.14540047,0.461813109,652.7693333,44423.67333,25.17570455,0.48890306,621.4006667,50502.46333,; Replaced white tape 6/29/21 and corrected color band side on sheet (L); ,N,NA,N,NA,Y,NA,NA,2021,147,166,210,NA,121,76,76.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57560,Golden Grizzly,R,N,M,CP,RJS,2021-06-18,120,120,120,N,Y,NA,NA,NA,92.5,92.5,92.5,17.9,NA,NA,NA,NA,Red,Purple,Green,L,Y,0.1,3N banded day 8; 1N banded day 12,54,old,2850-57718,2021-06-05,4,4,4,fledged,Y,69,old,2850-57718,2021-07-21,3,3,2,failed,N,chicks died; banded day 11,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,; LTS broken; ,N,NA,N,NA,Y,NA,NA,2021,156,202,NA,NA,120,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57561,Schaap,L,N,F,BP,RJS,2021-06-19,118,118,118,Y,Y,83,83,83,82,82,82,17.9,17.7,2021-06-29,17.39,2021-08-18,White,White,White,R,Y,1,Likely at nest #74,74,old,2850-57563,2021-06-03,5,3,3,fledged,Y,14,old,2850-57563,2021-07-23,5,5,5,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,18.45460618,0.485105672,666.7963333,37019.94,29.68443503,0.41348898,597.4023333,59546.97667,34.22496012,0.395259282,614.0676667,68655.27,32.59299601,0.435832313,625.4556667,65381.55,; ; ,N,NA,N,NA,Y,NA,NA,2021,154,204,NA,NA,118,82,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57562,Schaap,L,N,M,Color,RJS,2021-06-19,119,119,119,Y,Y,87,87,87,86,86,86,19.3,19.35,2021-08-18,NA,NA,Orange,Dk Green,Red,R,Y,0.5,,67,old,2850-57904,2021-06-06,4,4,4,fledged,Y,114,old,2850-57904,2021-07-19,5,5,5,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,13.09303091,0.512535309,682.4246667,26264.62,32.88238617,0.431582671,612.407,65962.06667,30.2656763,0.405264424,634.4203333,60712.94667,23.24977567,0.466948306,625.7763333,46639.05,; ; ,N,NA,N,NA,Y,NA,NA,2021,157,200,NA,NA,119,86,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57563,Schaap,R,N,M,CP,RJS,2021-06-19,115,115,115,Y,Y,85,85,85,85,85,85,16.9,NA,NA,NA,NA,Lt Green,Red,White,L,Y,0.33,,74,old,2850-57561,2021-06-03,5,3,3,fledged,Y,14,old,2850-57561,2021-07-23,5,5,5,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,7.980031572,0.554350085,666.142,16007.94333,23.82784314,0.474394253,655.0786667,47798.65333,22.69972748,0.493581229,632.1416667,45535.65333,26.00000166,0.507507382,655.417,52156.00333,; ; ,N,NA,N,NA,Y,NA,NA,2021,154,204,NA,NA,115,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57564,Blue Cloud,R,N,F,BP,RJS,2021-06-21,118,118,118.5,Y,Y,75,75,75,76,76,76,19.9,19.55,2021-06-23,19.3,2021-06-26,Lt Green,White,Green,L,Y,0.1,Disappeared from site after tagged and eggs collected. Did not see her again at site or nearby,18,new,2640-97548,2021-06-13,4,0,0,eggs collected,N,,,,NA,,,NA,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,,24.75957959,0.444826613,625.7763333,49667.71667,25.05831007,0.437183757,604.7746667,50266.97,27.83162679,0.432696664,609.081,55830.24333,25.97749917,0.39312304,642.4716667,52110.86333,; caught with yellow powder at nest; ,Y,GPS tag,Y,eggs collected,Y,NA,NA,2021,164,NA,NA,NA,118.1666667,76,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
