"","band","first_date","first_year","index","adult.nestl","est.age","site_2022","certainty"
"90","2850-57659","2022-06-18",2022,2,"M",1,"Blue Cloud","good"
"91","2850-57660","2022-06-23",2022,1,"F",1,"Jays","low"
"92","2850-57661","2022-06-24",2022,1,"F",1,"Karen's ","low"
"93","2850-57662","2022-06-24",2022,1,"M",1,"Karen's ","low"
"94","2850-57663","2022-06-24",2022,1,"F",1,"Cooks","good"
"95","2850-57664","2022-06-24",2022,1,"F",1,"Cooks","good"
"96","2850-57665","2022-06-24",2022,1,"M",1,"Cooks","good"
"97","2850-57666","2022-06-25",2022,1,"M",1,"Cathy's","good"
"98","2850-57667","2022-06-25",2022,1,"F",1,"Cathy's","good"
"99","2850-57668","2022-06-25",2022,1,"M",1,"Make Believe","good"
"100","2850-57669","2022-06-28",2022,1,"M",1,"CHR","low"
"101","2850-57670","2022-06-28",2022,2,"F",1,"CHR","low"
"102","2850-57671","2022-06-28",2022,1,"M",1,"CHR","low"
"103","2850-57672","2022-06-29",2022,1,"F",1,"Cooks","good"
"104","2850-57673","2022-06-29",2022,1,"M",1,"Cooks","good"
"105","2850-57674","2022-06-30",2022,2,"M",1,"Struthers","good"
"106","2850-57675","2022-07-01",2022,1,"M",1,"Cooks","good"
"107","2850-57676","2022-07-01",2022,1,"M",1,"Cooks","good"
"108","2850-57677","2022-07-03",2022,2,"M",1,"Maya's","low"
"109","2850-57678","2022-07-03",2022,1,"M",1,"Maya's","low"
"110","2850-57679","2022-07-03",2022,1,"M",1,"Starlight","low"
"111","2850-57680","2022-07-04",2022,1,"M",1,"Make Believe","good"
"112","2850-57681","2022-07-05",2022,1,"M",1,"Schaap ","good"
"113","2850-57682","2022-07-05",2022,1,"F",1,"Schaap ","good"
"114","2850-57683","2022-07-07",2022,2,"F",1,"Struthers","good"
"115","2850-57684","2022-07-07",2022,1,"M",1,"Struthers","good"
"116","2850-57685","2022-07-07",2022,2,"F",1,"Boyer","low"
"117","2850-57686","2022-07-07",2022,2,"M",1,"Boyer","low"
"118","2850-57687","2022-07-07",2022,2,"F",1,"Boyer","low"
"119","2850-57688","2022-07-07",2022,2,"F",1,"Boyer","low"
"120","2850-57689","2022-07-07",2022,1,"M",1,"Boyer","low"
"121","2850-57690","2022-07-07",2022,1,"M",1,"Plumbumpy","low"
"122","2850-57691","2022-07-07",2022,1,"M",1,"Marte's","low"
"123","2850-57692","2022-07-07",2022,1,"F",1,"Marte's","low"
"124","2850-57693","2022-07-11",2022,1,"F",1,"Cargill","low"
"125","2850-57694","2022-07-11",2022,1,"M",1,"Quick","low"
"126","2850-57695","2022-07-11",2022,2,"M",1,"Quick","low"
"127","2850-57696","2022-07-11",2022,2,"F",1,"CHR","low"
"128","2850-57697","2022-07-14",2022,1,"M",1,"Grizz","good"
"129","2850-57698","2022-07-16",2022,1,"F",1,"Speedwell","low"
"130","2850-57699","2022-07-16",2022,1,"M",1,"Speedwell","low"
"131","2850-57700","2022-07-18",2022,1,"F",1,"Cooks","good"
