proofed_by,entered_by,band,site,mb_side,recap,sex,how_sexed,initials,date,rwl1,rwl2,rwl3,lts1,lts2,lts3,intact_lts,rts1,rts2,rts3,intact_rts,mass_1,mass_2_date,mass_2,mass_3_date,mass_3,mass_4_date,mass_4,body_feathers,notes,color_top,color_bottom,mb_tape,cb_side,other_marks,lysis,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,success_1,nest_fate_1,notes_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,success_2,nest_fate_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,success_3,nest_fate_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,success_4,nest_fate_4,notes_4,pairing_notes
HKD,IJM,2850-57743,CHR,R,N,M,CP,ZML ,2022-06-17,117.5,117.5,117,86,86,86,Y,84,84,84,Y,16.44,,,,,,,Y,not assigned to any nest as of 8/3/22,Lt Green,Orange,NONE,L,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not assigned to any nest as of 10/10/22
HKD,IJM,2850-57884,CHR,L,N,F,BP,APP,2022-06-17,122,122,122,78,78,78.5,Y,NA,NA,NA,N,19.01,,,,,,,Y,missing RTS. not assigned to any nest as of 8/3/22,Red,Purple,NONE,R,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not assigned to any nest as of 10/10/22
HKD,IJM,2870-64907,CHR,L,N,M,CP,APP,2022-08-07,119,119,119,90,90,90,Y,89,89,89.5,Y,14.88,,,,,,,Y,not assigned to any nest as of 10/10/22,Black,Orange,NONE,R,green sharpie on tail,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not assigned to any nest as of 10/10/22
HKD,IJM,2870-64910,CHR,R,N,F,BP,HKD,2022-08-07,118,118,118,81,81,81,Y,82,82,82.5,Y,14.74,,,,,,,Y,not assigned to any nest as of 10/10/22,Orange,Lt Green,NONE,L,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not assigned to any nest as of 10/10/22
HKD,IJM,2870-64911,CHR,R,N,unknown,NA,APP,2022-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.95,,,,,,,N,fledgling,NA,NA,NONE,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57633,Cooks,R,Y,M,CP,HKD,2022-07-01,121.5,121,121,88.5,88.5,89,Y,89,89,89,Y,17.94,2022-07-18,18.16,,,,,Y,,Black,Yellow,NONE,L,,Y,N,,Y,ibutton,2,old,2850-57637,2022-05-23,5,1,1,Y,fledged,ibutton nest,22,old,2850-57637,2022-07-06,3,0,0,N,predated,,22.2,old,2850-57637,2022-07-23,4,0,0,N,unhatched,,,,,,,,,,,,
IJM,NC ,2850-57637,Cooks,L,N,F,BP,HKD,2022-05-28,115,115,114,76,76,76,Y,73,73,73,Y,23.06,2022-07-01,17.71,,,,,Y,caught in back stall; biting at fingers,Purple,Dk Green,NONE,R,,Y,N,,Y,ibutton,2,old,2850-57633,2022-05-23,5,1,1,Y,fledged,ibutton nest,22,old,2850-57633,2022-07-06,3,0,0,N,predated,,22.2,old,2850-57633,2022-07-23,4,0,0,N,unhatched,,,,,,,,,,,,
IJM,HKD,2850-57574,Cooks,R,N,M,CP,RS,2022-05-28,121,121,121,90,90,90,Y,88,88,88,Y,18.7,,,,,,,Y,,Purple,Red,Blue,L,,Y,N,,N,,4,old,2850-57575,2022-06-02,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57575,Cooks,L,N,F,BP,RS,2022-05-28,118,118.5,118,76.5,76.5,76.5,Y,73,74,73,Y,19.8,2022-06-24,17.37,2022-07-01,16.24,,,Y,"(5/28/22)  streamers curled, ratty looking. Remeasured TS on 6/24, LTS: 73.5, 73.5, 74. RTS: 72, 72, 72. ",White,Orange,Blue,R,,Y,N,,N,,4,old,2850-57574,2022-06-02,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57557,Cooks,L,Y,M,CP,IJM,2022-06-24,117,117,117,83.5,84,83.5,Y,84,84,84,Y,18.25,,,,,,,Y,,Lt Blue,Lt Green,NONE,R,,Y,N,,N,,6,old,2850-57609,2022-05-15,5,5,5,Y,fledged,apparently left the barn after 1st brood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57609,Cooks,L,Y,F,BP,RS,2022-05-28,116,116.5,116,74,74,74,Y,74,74,74,Y,18.1,,,,,,,Y,,Pink,Lt Blue,Red,R,,Y,N,,N,,6,old,2850-57577,2022-05-15,5,5,5,Y,fledged,apparently left the barn after 1st brood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57675,Cooks,R,N,M,CP,NC,2022-07-01,120.5,120.5,120.5,90,90.5,90,Y,88,87.5,87.5,Y,16.13,2022-07-18,16.8,,,,,Y,,Dk Green,Red,White,L,no tape,Y,N,,N,,13,old,2850-57749,2022-07-04,4,4,4,N,failed,all 4N found dead day 16 covered in mites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57749,Cooks,R,N,F,BP,ASF,2022-07-27,118,118,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,Y,"measurements not taken because had to remove band + bird was stressed; no color combo was added, had to remove band since it was put on too tightly (was fine on the first squeeze, second squeeze caused it to overlap); leg skin was scraped/bled a bit but seemed to be clotting; bird was breathing heavily when let go but otherwise appeared fine; band 2850-57748 removed and destroyed",NA,NA,NONE,NA,,Y,N,,N,,13,old,2850-57675,2022-07-04,4,4,4,N,failed,all 4N found dead day 16 covered in mites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57672,Cooks,L,N,F,BP,HKD,2022-06-29,119.5,120,120,78,78,78,Y,77.5,78,78,Y,15.52,,,,,,,Y,probably female at #17,Red,Yellow,NONE,R,,Y,N,,N,,17,old,2850-57673,2022-06-01,4,4,4,Y,fledged,,7,old,2850-57673,2022-07-29,1,0,0,N,predated,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57673,Cooks,L,N,M,CP,HKD,2022-06-29,121.5,121,121,86.5,86.5,86,Y,86,86,86,Y,16.42,,,,,,,Y,probably male at #17,Pink,Pink,NONE,R,,Y,N,,N,,17,old,2850-57672,2022-06-01,4,4,4,Y,fledged,,7,old,2850-57672,2022-07-29,1,0,0,N,predated,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57664,Cooks,R,N,F,BP,NC,2022-06-24,114.5,114.5,114.5,74,74,74,Y,74,74,74,Y,20.15,,,,,,,Y,,Dk Blue,Yellow,Green,L,,Y,N,,N,,27,old,2850-57676,2022-06-18,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
