"date","initials","day12","est_age","site","nest","brood","eggs","mom_band","dad_band","band","feathers","rwl","mites_nestling","lysis_amt","mass","survived","nestling_notes","mites_pt","nest_notes","nestling_manipulated","nestling_treatment","nestling_manipulation_date","lysis","nestling_num","year","mites","mom_origin","dad_origin","original_site","original_nest","additional_data","clutch_size","max_brood","mites_nest","plasma_amount","slides","tarsus","nestling_manipulation","plasma","sex","mom_biol_band","dad_biol_band"
"2008-06-20","","","12","Cargill","8.0","1","","2540-44588","UNB","2351-05672","Y",NA,"","","20.5","","","","","N","","","Y","3/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","12","Cargill","8.0","1","","2540-44588","UNB","2351-05673","Y",NA,"","","20.5","","","","","N","","","Y","4/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","12","Cargill","8.0","1","","2540-44588","UNB","2351-05674","Y",NA,"","","22.5","","","","","N","","","Y","5/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","10","Cargill","15.0","1","","2540-44647","2540-44586","2351-05675","Y","48","","","18","","","","","N","","","Y","1/2","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","11","Schaap","25.0","1","","2540-44501","2540-44781","2351-05676","Y",NA,"","","19.5","","","","","N","","","Y","1/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","11","Schaap","25.0","1","","2540-44501","2540-44781","2351-05677","Y",NA,"","","20.5","","","","","N","","","Y","2/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","11","Schaap","25.0","1","","2540-44501","2540-44781","2351-05678","Y",NA,"","","19","","","","","N","","","Y","3/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","F","",""
"2008-06-20","","","10","Pleasant Ridge","1.0","1","","2540-44669 or 2540-44670","UNB","2351-05679","Y","63","","","19.5","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","10","Pleasant Ridge","1.0","1","","2540-44669 or 2540-44670","UNB","2351-05680","Y","61","","","20.5","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","10","Pleasant Ridge","1.0","1","","2540-44669 or 2540-44670","UNB","2351-05681","Y","65","","","19.5","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-20","","","10","Pleasant Ridge","1.0","1","","2540-44669 or 2540-44670","UNB","2351-05682","Y","61","","","20.5","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-22","","","9","Autumn Hill","32.0","1","","2540-44720","UNB","2351-05683","Y",NA,"","","15","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-22","","","9","Autumn Hill","32.0","1","","2540-44720","UNB","2351-05684","Y",NA,"","","14.5","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-22","","","9","Autumn Hill","32.0","1","","2540-44720","UNB","2351-05685","Y",NA,"","","16","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-22","","","9","Autumn Hill","32.0","1","","2540-44720","UNB","2351-05686","Y",NA,"","","16.5","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-06-22","","","11","Autumn Hill","16.0","1","","2540-44722","2540-44630","2351-05687","Y","52","","","18.5","","","","","N","","","Y","1/2","2008","N","","","","","Microbe data available","2.0","","","","",NA,NA,"N","M","",""
"2008-06-22","","","11","Autumn Hill","16.0","1","","2540-44722","2540-44630","2351-05688","Y","48","","","17","","","","","N","","","Y","2/2","2008","N","","","","","Microbe data available","2.0","","","","",NA,NA,"N","M","",""
"2008-06-20","","","10","Cargill","15.0","1","","2540-44647","2540-44586","2351-05689","N","34","","","14.5","","","","","N","","","Y","2/2","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-25","","","11","Autumn Hill","23.0","1","","2540-44772","2540-44773","2351-05690","Y",NA,"","","20","","","","","N","","","Y","1/3","2008","N","","","","","Microbe data available","3.0","","","","",NA,NA,"N","F","",""
"2008-06-25","","","11","Autumn Hill","23.0","1","","2540-44772","2540-44773","2351-05691","Y",NA,"","","21.5","","","","","N","","","Y","2/3","2008","N","","","","","Microbe data available","3.0","","","","",NA,NA,"N","F","",""
"2008-06-25","","","11","Autumn Hill","23.0","1","","2540-44772","2540-44773","2351-05692","Y",NA,"","","20.5","","","","","N","","","Y","3/3","2008","N","","","","","Microbe data available","3.0","","","","",NA,NA,"N","F","",""
"2008-06-26","","","10","Shangri La","1.0","1","","2540-44577","2540-44801","2351-05693","Y","49","","","18.5","","","","","N","","","Y","1/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","F","",""
"2008-06-26","","","10","Shangri La","1.0","1","","2540-44577","2540-44801","2351-05694","Y","56","","","20.5","","","","","N","","","Y","2/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","M","",""
"2008-06-26","","","10","Shangri La","1.0","1","","2540-44577","2540-44801","2351-05695","Y","50","","","17.5","","","","","N","","","Y","3/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","U","",""
