"Bird","date","B_total.bright","B_avg.bright","B_hue","B_chrom","R_total.bright","R_avg.bright","R_hue","R_chrom","T_total.bright","T_avg.bright","T_hue","T_chrom","V_total.bright","V_avg.bright","V_hue","V_chrom"
"2850-57657","06_17_22",43495.9633333333,21.6829328680625,659.167,0.481288684851715,57192.22,28.5105782652044,659.167,0.488325243942122,36708.2866666667,18.2992455965437,659.167,0.481478866157901,35982.36,17.9373678963111,659.167,0.488218745555593
"2850-57658","06_17_22",60017.6966666667,29.9190910601529,627.058333333333,0.429060448831966,55406.7233333333,27.6205001661682,637.048666666667,0.461133195473329,33464.6933333333,16.6822997673646,627.058333333333,0.51985886562813,103306.856666667,51.4989315387172,611.004,0.368179989900079
"2850-57659","06_18_22",50257.09,25.0533848454636,627.157333333333,0.457439069902408,43485.3666666667,21.6776503821868,616.786333333333,0.502116285071183,23754.97,11.8419591226321,670.81,0.556138856576381,49843.04,24.8469790628116,625.776333333333,0.488799594858679
"2850-57660","06_23_22",71951.18,35.8679860418744,611.004,0.399611231302229,84268.6066666667,42.0082784978398,632.079,0.421380958117811,53767.08,26.8031306081755,611.004,0.47037201245354,58285.7333333333,29.0556995679628,611.004,0.426401073979219
"2850-57661","06_24_22",51679.33,25.7623778664008,631.694666666667,0.441584669286962,65152.3933333333,32.4787603855101,611.004,0.448605906585059,37204.76,18.546739780658,652.385333333333,0.535136359028742,45185.1366666667,22.5249933532735,648.063,0.486438570581098
"2850-57662","06_24_22",38103.78,18.9949052841476,657.721,0.452079663635858,46595.6366666667,23.2281339315387,610.747333333333,0.473467798154249,30537.6533333333,15.2231571950814,637.743333333333,0.48505764771187,51493.0866666667,25.6695347291459,609.401666666667,0.427606372156781
"2850-57663","06_24_22",73440.3266666667,36.6103323363244,611.004,0.421809374890696,84500.92,42.1240877367896,611.004,0.380513033754486,49629.3966666667,24.7404769026255,611.004,0.437529315055014,74287.13,37.0324675972084,611.004,0.411131367738259
"2850-57664","06_24_22",50343.6966666667,25.0965586573612,611.004,0.438692357535342,42034.0133333333,20.9541442339648,610.683666666667,0.465707741832002,28869.99,14.3918195413759,611.004,0.51076296275143,58224.8666666667,29.0253572615487,611.004,0.43506290175342
"2850-57665","06_24_22",46914.7866666667,23.3872316384181,625.776333333333,0.474979786705814,50890.0533333333,25.3689199069458,655.110666666667,0.481938854319553,19932.1433333333,9.93626287803257,664.117333333333,0.545244550634601,45879.9033333333,22.8713376537055,617.439,0.491526996106575
"2850-57666","06_25_22",69020.7166666667,34.4071369225656,607.112666666667,0.42911585167345,NA,NA,NA,NA,29351.05,14.631630109671,653.727333333333,0.52255870315196,50707.3766666667,25.2778547690263,689.138,0.477205757351731
"2850-57667","06_25_22",42919.2766666667,21.3954519774011,689.138,0.439257316968318,37490.3733333333,18.6891193087404,653.417,0.472891097186152,40085.1833333333,19.9826437354603,689.138,0.475452982113716,33821.7933333333,16.8603157195081,659.736,0.490177305534381
"2850-57668","06_25_22",48136.3033333333,23.9961631771353,611.004,0.472439002541212,53645.2466666667,26.7423961448986,631.694666666667,0.471296726190417,23433.2033333333,11.6815569956796,664.117333333333,0.516184020755768,40427.64,20.1533599202393,611.004,0.478588103919299
"2850-57669","06_17_22",34590.96,17.2437487537388,611.004,0.494612282609142,55620.7466666667,27.7271917580592,611.004,0.476179039504969,28244.12,14.0798205383848,611.004,0.50420461755321,37259.7,18.5741276171486,611.004,0.508699717573014
"2850-57670","06_28_22",48694.7266666667,24.2745397141908,618.390666666667,0.458991700416601,54416.8066666667,27.1270222665337,634.451666666667,0.458456097927432,39276.2466666667,19.5793851777999,598.034666666667,0.470545395967651,42460.5633333333,21.1667813226986,604.422333333333,0.479551687091038
"2850-57671","06_28_22",47505.01,23.6814606181456,641.034,0.459973843096963,57856.6666666667,28.8418079096045,593.413333333333,0.479499655497759,32664.71,16.2835044865404,667.733,0.481813029736204,51651.0033333333,25.7482568959787,607.032666666667,0.475226127659176
"2850-57672","06_29_22",71382.88,35.5846859421735,621.699333333333,0.423710214752427,71908.3133333333,35.846616816218,611.004,0.40307684285162,27863.6933333333,13.8901761382519,611.004,0.538874579457645,88752.21,44.2433748753739,611.004,0.411525886078667
"2850-57673","06_29_22",50410.4166666667,25.1298188767032,611.004,0.475219286144072,47759.45,23.8083000997009,611.004,0.490864515501701,21751.1566666667,10.843049185776,631.694666666667,0.510941546372767,59084.7,29.4539880358923,611.004,0.462833294455689
"2850-57674","06_30_22",38770.2966666667,19.3271668328348,682.423333333333,0.489049526744921,42484.1566666667,21.1785427052177,688.393333333333,0.510356590389427,30816.3033333333,15.3620654702559,686.401333333333,0.525460467666896,42465.24,21.169112662014,678.025666666667,0.514089369164649
