band,first_date,first_year,est.age,site_2022,certainty
2850-57901,2021-06-23,2021,2,Blue Cloud,good
2850-57731,2021-08-12,2021,2,CHR,good
2640-97596,2020-06-12,2020,3,Make Believe,good
2850-57519,2020-07-07,2020,3,Grizz,good
2850-57846,2020-07-25,2020,3,CHR,good
2640-97589,2020-05-30,2020,3,CHR,good
2850-57518,2020-07-06,2020,3,Make Believe,good
2850-57701,2020-07-28,2020,3,Schaap ,good
2850-57808,2020-05-30,2020,3,CHR,good
2640-97588,2020-05-30,2020,3,CHR,good
2850-57806,2020-05-30,2020,3,CHR,good
2350-21096,2019-06-17,2019,4,Grizz,good
2640-97358,2019-06-14,2019,4,CHR,good
2350-21085,2019-05-31,2019,4,Make Believe,good
2640-97548,2019-06-28,2019,4,Blue Cloud,good
2640-97331,2018-06-16,2018,5,CHR,good
2600-54932,2014-06-13,2014,9,Cargill,good
2850-57583,2022-06-17,2022,1,CHR,low
2850-57584,2022-06-17,2022,1,CHR,low
2850-57585,2022-06-17,2022,1,CHR,low
2850-57586,2022-06-20,2022,1,CHR,low
2850-57588,2022-06-20,2022,1,CHR,low
2850-57590,2022-07-03,2022,1,Maya's,low
2850-57591,2022-07-03,2022,1,Maya's,low
2850-57592,2022-07-03,2022,1,Maya's,low
2850-57594,2022-07-03,2022,1,Maya's,low
2850-57596,2022-07-03,2022,1,Maya's,low
2850-57640,2022-06-07,2022,1,McCauley,low
2850-57641,2022-06-10,2022,1,Sol y Sombra,low
2850-57648,2022-06-17,2022,1,CHR,low
2850-57649,2022-06-17,2022,1,CHR,low
2850-57650,2022-06-17,2022,1,CHR,low
2850-57651,2022-06-17,2022,1,CHR,low
2850-57652,2022-06-17,2022,1,CHR,low
2850-57654,2022-06-17,2022,1,CHR,low
2850-57655,2022-06-17,2022,1,CHR,low
2850-57656,2022-06-17,2022,1,CHR,low
2850-57658,2022-06-17,2022,1,CHR,low
2850-57660,2022-06-23,2022,1,Jays,low
2850-57661,2022-06-24,2022,1,Karen's ,low
2850-57670,2022-06-28,2022,1,CHR,low
2850-57685,2022-07-07,2022,1,Boyer,low
2850-57687,2022-07-07,2022,1,Boyer,low
2850-57688,2022-07-07,2022,1,Boyer,low
2850-57692,2022-07-07,2022,1,Marte's,low
2850-57693,2022-07-11,2022,1,Cargill,low
2850-57696,2022-07-11,2022,1,CHR,low
2850-57698,2022-07-16,2022,1,Speedwell,low
2850-57741,2022-06-10,2022,1,Erica's,low
2850-57746,2022-06-17,2022,1,CHR,low
2850-57747,2022-07-03,2022,1,Maya's,low
2850-57753,2022-08-15,2022,1,McCauley,low
2850-57879,2022-06-17,2022,1,CHR,low
2850-57882,2022-06-17,2022,1,CHR,low
2850-57883,2022-06-17,2022,1,CHR,low
2850-57884,2022-06-17,2022,1,CHR,low
2850-57887,2022-07-03,2022,1,Maya's,low
2850-57888,2022-07-03,2022,1,Maya's,low
2850-57896,2022-07-11,2022,1,Cargill,low
2870-64908,2022-08-07,2022,1,CHR,low
2870-64909,2022-08-07,2022,1,CHR,low
2870-64910,2022-08-07,2022,1,CHR,low
2870-64912,2022-08-09,2022,1,James Ditch,low
2870-65003,2022-07-11,2022,1,CHR,low
2870-65004,2022-07-11,2022,1,CHR,low
2850-57577,2022-06-17,2022,1,CHR,low
2850-57578,2022-06-17,2022,1,CHR,low
2850-57580,2022-06-17,2022,1,CHR,low
2850-57581,2022-06-17,2022,1,CHR,low
2850-57582,2022-06-17,2022,1,CHR,low
2850-57587,2022-06-20,2022,1,CHR,low
2850-57589,2022-06-20,2022,1,CHR,low
2850-57593,2022-07-03,2022,1,Maya's,low
2850-57595,2022-07-03,2022,1,Maya's,low
2850-57597,2022-07-03,2022,1,Maya's,low
2850-57639,2022-06-07,2022,1,McCauley,low
